# T, E/N, C/N, nsamples, Eerr, Cerr
1.000000000000000021e-03 -9.990899276489364489e-01 9.264925519347042560e-01 5.000000000000000000e+05 2.662053743411219583e-06 2.190136236303460299e-02
1.258814833917288115e-03 -9.988502621847726859e-01 9.566666630181231978e-01 5.000000000000000000e+05 3.008108656527381033e-06 2.229778587633908862e-02
1.584614786090211185e-03 -9.985396524399410279e-01 9.324747974245944926e-01 5.000000000000000000e+05 7.028498179511277541e-06 1.976014338005088397e-02
1.994736598775028250e-03 -9.981662078861459619e-01 9.247808311722975905e-01 5.000000000000000000e+05 3.946549169736433515e-06 2.273984499230654113e-02
2.511004020295723276e-03 -9.976953036828505317e-01 9.000773936405489506e-01 5.000000000000000000e+05 3.444983024918460998e-06 1.627353311299438096e-02
3.160889108774203680e-03 -9.970895136681425797e-01 9.191431678238934921e-01 5.000000000000000000e+05 3.850504839259349736e-06 1.299223047164393616e-02
3.978974098492567973e-03 -9.963248931295167754e-01 9.282206466200562112e-01 5.000000000000000000e+05 5.687920093815762331e-06 1.626147448918763977e-02
5.008791618955113142e-03 -9.953587733533019177e-01 9.248990076485856804e-01 5.000000000000000000e+05 7.997097885301589370e-06 1.396803701289505394e-02
6.305141189941285140e-03 -9.940909818777918794e-01 9.492883293258149724e-01 5.000000000000000000e+05 1.298667803033088646e-05 1.087060591955335206e-02
7.937005259840991186e-03 -9.925571544514409927e-01 9.521093369373783144e-01 5.000000000000000000e+05 9.346379069469888334e-06 1.006785558781429606e-02
9.991219957967390278e-03 -9.905441441704275762e-01 9.607804250978027039e-01 5.000000000000000000e+05 1.369775462067102594e-05 1.056778110752568632e-02
1.257709589201981386e-02 -9.879984090492759385e-01 9.882205113995014001e-01 5.000000000000000000e+05 8.986997968439603250e-06 1.297676590466144593e-02
1.583223487647473712e-02 -9.847879163936156255e-01 9.885421867772942184e-01 5.000000000000000000e+05 9.387841274841990285e-06 6.815743203196184680e-03
1.992985211656904398e-02 -9.807256706369514854e-01 9.958112956947746675e-01 5.000000000000000000e+05 1.033295592186980679e-05 5.192846069060301842e-03
2.508799348211498623e-02 -9.756390370739118634e-01 9.918993188939292382e-01 5.000000000000000000e+05 1.233004932688413733e-05 6.248398223781710670e-03
3.158113834850657942e-02 -9.692005122197763223e-01 9.950509735476092965e-01 5.000000000000000000e+05 1.866317749549451275e-05 5.397159742588367864e-03
3.975480542509422788e-02 -9.611271714241482744e-01 9.915765481849209140e-01 5.000000000000000000e+05 1.479989425538017504e-05 3.410138210825534606e-03
5.004393878860412259e-02 -9.509460254882697861e-01 9.892098032207237157e-01 5.000000000000000000e+05 1.914956954006089790e-05 2.319961978087289271e-03
6.299605249474363178e-02 -9.381277638195123503e-01 9.907617143194255016e-01 5.000000000000000000e+05 2.641602157796578933e-05 3.351909406536092255e-03
7.930036535861550995e-02 -9.220850872998520575e-01 9.795205638916355539e-01 5.000000000000000000e+05 1.941815983615326411e-05 3.248293215099992692e-03
9.982447624848585221e-02 -9.023217360770663387e-01 9.520104191314164854e-01 5.000000000000000000e+05 2.970344561724169477e-05 2.412111684640786541e-03
1.256605314896180325e-01 -8.784221854031085686e-01 9.007260864878389173e-01 5.000000000000000000e+05 2.061584070787906732e-05 2.432435374510416321e-03
1.581833410770616954e-01 -8.501521823150278712e-01 8.353539344193128269e-01 5.000000000000000000e+05 3.221660668094202651e-05 1.599297099272500551e-03
1.991235362264031361e-01 -8.174617677674191896e-01 7.632508323106123038e-01 5.000000000000000000e+05 1.781845101933319316e-05 1.579858915260228024e-03
2.506596611838630140e-01 -7.800546068496925223e-01 6.912158697010059027e-01 5.000000000000000000e+05 2.714404877974494905e-05 1.693388982322626768e-03
3.155340997629282329e-01 -7.377378657687755359e-01 6.207078206450212798e-01 5.000000000000000000e+05 2.978181769385052161e-05 1.204965518412201087e-03
3.971990053883115435e-01 -6.901768508339878316e-01 5.491406206778405297e-01 5.000000000000000000e+05 3.863790697031939359e-05 9.338860279498044543e-04
5.000000000000000000e-01 -6.370825496193098791e-01 4.843000612045916808e-01 5.000000000000000000e+05 4.169299623239713427e-05 1.062433374114291626e-03
